"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2020 (-)"
"Aceguá","4300034","-31.86075999999","-54.16705999999","78","68","60","83","135","103","129","152","127","143","133"
"Água Santa","4300059","-28.16720000000","-52.03099999999","72","93","91","95","91","94","94","90","95","84","100"
"Agudo","4300109","-29.6447","-53.2515","361","392","442","461","475","406","375","397","395","426","356"
"Ajuricaba","4300208","-28.23420000000","-53.77570000000","216","229","209","215","200","196","184","173","196","178","156"
"Alecrim","4300307","-27.65790000000","-54.76489999999","70","77","82","83","77","69","70","72","76","63","55"
"Alegrete","4300406","-29.79019999999","-55.79489999999","1.666","1.678","1.771","1.822","1.724","1.708","1.425","1.429","1.490","1.389","1.273"
"Alegria","4300455","-27.83449999999","-54.05570000000","44","44","41","57","59","72","46","58","62","50","39"
"Almirante Tamandaré do Sul","4300471","-28.10859999999","-52.91190000000","43","60","67","71","77","73","70","86","112","89","98"
"Alpestre","4300505","-27.2502","-53.03410000000","83","81","78","86","108","96","79","82","76","75","76"
"Alto Alegre","4300554","-28.77690000000","-52.98919999999","31","40","55","65","61","47","52","64","70","32","24"
"Alto Feliz","4300570","-29.3919","-51.3123","111","93","109","110","124","138","114","151","147","154","131"
"Alvorada","4300604","-29.99139999999","-51.0809","2.680","3.090","3.113","3.333","3.261","2.913","2.674","2.344","2.485","2.384","2.204"
"Amaral Ferrador","4300638","-30.87559999999","-52.25099999999","30","38","32","38","36","39","27","28","37","33","22"
"Ametista do Sul","4300646","-27.36070000000","-53.183","131","152","197","168","193","189","207","225","265","284","215"
"André da Rocha","4300661","-28.62829999999","-51.57970000000","37","38","37","43","37","31","38","46","46","47","31"
"Anta Gorda","4300703","-28.96979999999","-52.01019999999","216","249","256","259","277","249","239","245","250","224","196"
"Antônio Prado","4300802","-28.8565","-51.2883","660","695","771","798","810","756","714","713","720","699","699"
"Arambaré","4300851","-30.90930000000","-51.50460000000","60","67","44","72","73","77","53","56","55","58","54"
"Araricá","4300877","-29.61680000000","-50.92909999999","342","325","292","299","295","253","224","292","255","282","264"
"Aratiba","4300901","-27.3978","-52.29749999999","181","200","194","213","197","196","159","190","180","159","146"
"Arroio do Meio","4301008","-29.40139999999","-51.9557","1.247","1.199","1.252","1.388","1.301","1.274","1.208","1.239","1.218","1.178","1.220"
"Arroio do Padre","4301073","-31.4316","-52.41709999999","38","29","20","27","25","25","26","22","20","28","22"
"Arroio do Sal","4301057","-29.54390000000","-49.88949999999","323","298","344","360","339","363","387","406","423","381","344"
"Arroio do Tigre","4301206","-29.33480000000","-53.09660000000","274","294","331","357","334","303","260","292","281","299","267"
"Arroio dos Ratos","4301107","-30.08750000000","-51.72749999999","296","289","297","311","297","308","239","233","199","225","226"
